"","hotel","rating","page","star","ctry"
"309","City Studio Serviced","79",9,1,2
"310","Sophia","53",9,1,2
"311","Arran Guest House","75",9,1,2
"312","Abbey","65",9,1,2
"313","The Madonna Halley","66",9,1,2
"314","37 Collingham Place","57",9,1,2
"315","Firs Lodge","69",9,1,2
"316","Flexistay Norbury","73",9,1,2
"317","Holland Apartments","62",9,1,2
"318","Stratford","57",9,1,2
"319","The Dharma Lodge","65",9,1,2
"320","The Dictionary","78",9,1,2
"321","Prince Arthur","69",10,1,2
"322","TrustYourStay","77",10,1,2
"323","Old Friend","56",10,1,2
"324","York Ilford","73",10,1,2
"325","Brackenbury","70",10,1,2
"326","Oxbridge Apartments","74",10,1,2
"327","Chiswick Court","64",10,1,2
"328","Earls Court Gardens","48",10,1,2
"329","Parkwood at Marble Arch","78",10,1,2
"330","Saco Canary Wharf - Trinity Tower","84",10,1,2
"331","274 Suites","71",10,1,2
"332","Olympia Bed & Breakfast","84",10,1,2
"333","Revive Lodge","57",10,1,2
"334","Comfort Zone Serviced","60",10,1,2
"335","Cumberland Apartments","70",10,1,2
"336","Romano's","58",10,1,2
"337","Think Apartments Tower Bridge","77",10,1,2
"338","Fct","64",10,1,2
"339","City View Hotel - Stratford","53",10,1,2
"340","Maykenbel Mayfair House","69",10,1,2
"341","Jm House","79",10,1,2
"342","Edgware","72",10,1,2
"343","Hyde Park","61",10,1,2
"344","Northfields Hostel","55",10,1,2
"345","New Cross Inn Hostel","68",10,1,2
"346","Discovery Dock Apartments","79",11,1,2
"347","Blue Bells","66",11,1,2
"348","The Railway Tavern","84",11,1,2
"349","The Ship Inn","81",11,1,2
"350","Caspian","73",11,1,2
"351","Tottenham Guesthouse","64",11,1,2
"352","Goddis Lodge","56",11,1,2
"353","Hartley","64",11,1,2
"354","The Broadway Guest House","56",11,1,2
"355","Rooms For You","50",11,1,2
"356","St Helens Gardens by onefinestay","77",11,1,2
"357","Smart Hyde Park Inn","66",11,1,2
"358","Heathrow House","71",11,1,2
"359","The Windmill","70",11,1,2
"360","B&B Smart Luxury Flats","80",11,1,2
"361","Clarendon Discovery Dock East",NA,11,1,2
"362","Tune  - London, Canary Wharf","78",1,2,2
"363","ibis London Wembley","79",1,2,2
"364","Tune Liverpool Street","78",1,2,2
"365","Tune Paddington","80",1,2,2
"366","Whiteleaf","53",1,2,2
"367","Caring","77",1,2,2
"368","Earls Court","62",1,2,2
"369","ibis London Stratford","76",1,2,2
"370","Kensington West","67",1,2,2
"371","Excelsior","63",1,2,2
"372","Marisa","54",1,2,2
"373","Lancaster Court","56",1,2,2
"374","Holland Inn","51",1,2,2
"375","Cromwell Crown","61",1,2,2
"376","The Paramount ex Buosi","76",1,2,2
"377","New Globe","69",1,2,2
"378","ibis London City","80",1,2,2
"379","The Palace Court","55",1,2,2
"380","The Castle Bar","77",1,2,2
"381","Goodwood","57",1,2,2
"382","Chelsea Guest House","74",1,2,2
"383","Alhambra Hotel","79",1,2,2
"384","ibis London Barking","75",1,2,2
"385","The Apollo","72",1,2,2
"386","Garden View","71",1,2,2
"387","Travelodge Wembley","71",2,2,2
"388","Tony's House","62",2,2,2
"389","Travelodge London City Airport","72",2,2,2
"390","Metro House","77",2,2,2
"391","London Kings","81",2,2,2
"392","ABC Hyde Park","69",2,2,2
"393","Welby 57","67",2,2,2
"394","National","61",2,2,2
"395","Shakespeare","64",2,2,2
"396","Euro Lodge Clapham","59",2,2,2
"397","Rhodes","78",2,2,2
"398","Kensington Court Notting Hill","58",2,2,2
"399","ibis London Docklands Canary Wharf","79",2,2,2
"400","Peckham Lodge","63",2,2,2
"401","Black Lion Guesthouse","73",2,2,2
"402","Hamiltons","58",2,2,2
"403","Camden Lock","76",2,2,2
"404","Imperial County","65",2,2,2
"405","New Dawn","50",2,2,2
"406","Clink78","76",2,2,2
"407","Boston Court","55",2,2,2
"408","Boston Manor","65",2,2,2
"409","Lily","54",2,2,2
"410","ibis London Shepherds Bush","86",2,2,2
"411","Central","63",2,2,2
"412","Columbia","72",3,2,2
"413","Saint Simeon","66",3,2,2
"414","Columbus","76",3,2,2
"415","Blair Victoria & Tudor Inn","43",3,2,2
"416","St. George","69",3,2,2
"417","Lords","60",3,2,2
"418","City Inn Express","60",3,2,2
"419","Melville","70",3,2,2
"420","Best Western The Delmere","77",3,2,2
"421","Springfield","59",3,2,2
"422","Swinton","68",3,2,2
"423","Park","51",3,2,2
"424","Grove Hill","72",3,2,2
"425","Holiday Inn Express London Golders Green A406","80",3,2,2
"426","Adria","79",3,2,2
"427","Leigham Court","75",3,2,2
"428","Albro House","69",3,2,2
"429","Caswell","61",3,2,2
"430","Excel","59",3,2,2
"431","Surtees","72",3,2,2
"432","ibis budget London Barking","67",3,2,2
"433","Fitzroy","57",3,2,2
"434","Wedgewood","58",3,2,2
"435","Oliver","62",3,2,2
"436","King Solomon","55",3,2,2
"437","Viking","71",4,2,2
"438","Balkan","60",4,2,2
"439","Plaza Hammersmith","54",4,2,2
"440","Edward","67",4,2,2
"441","Heathrow Inn","64",4,2,2
"442","New Dome","61",4,2,2
"443","Westbury Kensington","67",4,2,2
"444","Cricklewood Lodge","77",4,2,2
"445","The Boat","71",4,2,2
"446","Dolphin","63",4,2,2
"447","Ashley","63",4,2,2
"448","Welby 37","74",4,2,2
"449","Travelodge London Bethnal Green","81",4,2,2
"450","Rex","62",4,2,2
"451","Primrose Guesthouse","80",4,2,2
"452","Boka","63",4,2,2
"453","Kings","56",4,2,2
"454","London Shelton","45",4,2,2
"455","Four Stars","54",4,2,2
"456","Arriva","62",4,2,2
"457","Gresham ","55",4,2,2
"458","Guilford","57",4,2,2
"459","Adare","61",4,2,2
"460","Euro Clapham","57",4,2,2
"461","Queens","58",4,2,2
"462","Pembury","66",5,2,2
"463","European","62",5,2,2
"464","Hollingbury","54",5,2,2
"465","King's Cross","58",5,2,2
"466","YHA London Thameside","70",5,2,2
"467","The Fountain","72",5,2,2
"468","Palmers Lodge Hillspring","81",5,2,2
"469","London Olympus","67",5,2,2
"470","PubLove at the Exmouth Arms","78",5,2,2
"471","Strand Continental","66",5,2,2
"472","Chiswick Lodge","57",5,2,2
"473","Sara","68",5,2,2
"474","Lodge 51","58",5,2,2
"475","Glendale Hyde Park","57",5,2,2
"476","Manor House London","71",5,2,2
"477","Majestic","54",5,2,2
"478","City Best","63",5,2,2
"479","Charlies","59",5,2,2
"480","Palmers Lodge Swiss Cottage","83",5,2,2
"481","Elmwood","59",5,2,2
"482","Earls Court Studios","80",5,2,2
"483","Park Ilford","64",5,2,2
"484","The Wembley","62",5,2,2
"485","Tune Kings Cross","78",5,2,2
"486","The Brompton","62",5,2,2
"487","Somerset","58",6,2,2
"488","Journeys King's Cross","67",6,2,2
"489","Restup London","67",6,2,2
"490","The Seymour","59",6,2,2
"491","TOP Kensington Gardens","79",6,2,2
"492","Marble Arch Inn","65",6,2,2
"493","Grange Lodge","79",6,2,2
"494","Prince William","63",6,2,2
"495","Avon","65",6,2,2
"496","Hyde Park Court","55",6,2,2
"497","Regency Court","49",6,2,2
"498","Cranbrook","66",6,2,2
"499","Lonsdale Lodge","62",6,2,2
"500","Five Kings","64",6,2,2
"501","Canary Heights","77",1,3,2
"502","Hyde Park Quality Apartment","71",1,3,2
"503","The Z  Piccadilly","85",1,3,2
"504","Queens Hotel","76",1,3,2
"505","Holiday Inn Express London - Vauxhall Nine Elms","74",1,3,2
"506","Euro","81",1,3,2
"507","Studios2Let Cartwright Gardens","78",1,3,2
"508","ibis London Excel Docklands","79",1,3,2
"509","Hyde Park Suites","63",1,3,2
"510","Tune London Westminster","75",1,3,2
"511","London City Hotel","81",1,3,2
"512","Alexandra","61",1,3,2
"513","ibis London Earls Court","75",1,3,2
"514","Quality London-Wembley","70",1,3,2
"515","Holiday Inn London-West","79",1,3,2
"516","The Gardens","92",1,3,2
"517","Hanover","66",1,3,2
"518","Pembridge Palace","59",1,3,2
"519","RCA The Paddington","67",1,3,2
"520","ibis Styles London Leyton","67",1,3,2
"521","City Continental Kensington","71",1,3,2
"522","Sheriff","69",1,3,2
"523","1 Lexham Gardens","60",1,3,2
"524","Central Park","59",1,3,2
"525","The California","76",1,3,2
"526","Comfort Inn Hyde Park","74",2,3,2
"527","ibis London Euston St Pancras","80",2,3,2
"528","Best Western Palm","77",2,3,2
"529","Lord Jim","66",2,3,2
"530","Z Victoria","82",2,3,2
"531","West Ham United","78",2,3,2
"532","Lonsdale","47",2,3,2
"533","Grove Guest House","92",2,3,2
"534","Holiday Inn Express London Earls Court","80",2,3,2
"535","Arosfa","87",2,3,2
"536","ibis London Blackfriars","85",2,3,2
"537","Luna and Simone","87",2,3,2
"538","Staycity Aparthotels Greenwich Deptford Bridge Station","85",2,3,2
"539","Cardiff","71",2,3,2
"540","Pasha","62",2,3,2
"541","Prince Regent","79",2,3,2
"542","Accommodation London Bridge","81",2,3,2
"543","Travelodge London Stratford","80",2,3,2
"544","Bayswater Inn","59",2,3,2
"545","Queensway","67",2,3,2
"546","Hyde Park Boutique","79",2,3,2
"547","Holiday Inn Express London - Excel","80",2,3,2
"548","Star","85",2,3,2
"549","Comfort Inn Buckingham Palace Road","75",2,3,2
"550","Best Western Premier Shaftesbury London Kensington","79",2,3,2
"551","Ilford Apartments","84",3,3,2
"552","Ruskin ","76",3,3,2
"553","Norfolk Plaza","63",3,3,2
"554","Qbic London City","87",3,3,2
"555","Travelodge London Docklands","76",3,3,2
"556","The Clarendon","76",3,3,2
"557","Grantly","72",3,3,2
"558","Westpoint","65",3,3,2
"559","The Green Man","62",3,3,2
"560","Days Waterloo","78",3,3,2
"561","Imperial Royal National","59",3,3,2
"562","ibis Styles London Excel","74",3,3,2
"563","New Market House","68",3,3,2
"564","Holiday Inn Express London Wimbledon South","75",3,3,2
"565","Thistle Bloomsbury Park","76",3,3,2
"566","Ventures","47",3,3,2
"567","ibis London Greenwich","79",3,3,2
"568","Comfotel GRN","61",3,3,2
"569","Dillons","76",3,3,2
"570","Days Inn London Hyde Park","74",3,3,2
"571","Kings Cross","66",3,3,2
"572","Queens Park","61",3,3,2
"573","Comfort Inn London Westminster","65",3,3,2
"574","The Gateway","80",3,3,2
"575","Comfort  Finchley","75",3,3,2
"576","Presidential Apartments - Marylebone  Oxford St","81",4,3,2
"577","Holiday Inn London-Oxford Circus","73",4,3,2
"578","Abbey Court - Hyde Park","67",4,3,2
"579","My Place","62",4,3,2
"580","Thistle City Barbican","68",4,3,2
"581","London Stay - London Bridge","70",4,3,2
"582","The Ascot Hyde Park","50",4,3,2
"583","Best Western London Highbury","77",4,3,2
"584","Imperial Tavistock","66",4,3,2
